,shop_id,address,城市,company_registered_address,abbreviation,name,总计,通过数,拒绝数,接受数,接受金额,longitude,latitude
0,19211010,上海上海纽菲思,上海,,纽菲思,上海纽菲思,383,190,193,181,4572488.00元,31.289957,121.420708
1,19211014,上海上海市黄埔区瑞金南路341号,上海,上海市黄浦区瑞金南路341号东北2室部分,鲁南,上海宏津企业管理有限公司鲁南门诊部,7372,3921,3451,3797,120983729.00元,31.19744,121.46956
2,19211015,上海上海市静安区长安路1138号1－3层、404（D）、405（E）、406（F）、407室,上海,上海市静安区长安路1138号1－3层、404（D）、405（E）、406（F）、407室,玫瑰,上海玫瑰医疗美容医院,199,63,136,62,1471748.00元,31.24714,121.45186
3,19211016,上海上海市虹口区吴淞路308号1202室,上海,上海市虹口区吴淞路308号1202室,雅丰,上海雅丰医疗美容门诊部,40,31,9,30,896038.00元,31.24994,121.48973
4,19211017,上海上海美立方医疗美容医院,上海,,美立方,上海美立方医疗美容医院,1514,690,824,655,20790869.00元,31.21324,121.43174
5,19211018,上海上海伊尔美港华医疗美容医院有限公司,上海,,港华,上海伊尔美港华医疗美容医院有限公司,369,113,256,112,7678818.00元,31.2136,121.429001
6,19211019,上海上海长宁区华山路1358号,上海,杨浦区国顺东路222号,瑞欧,上海瑞欧医疗美容门诊部有限公司,3137,1772,1365,1745,56956630.00元,31.20839,121.43272
7,19211020,上海上海丽质医疗美容门诊部有限公司,上海,,丽质,上海丽质医疗美容门诊部有限公司,118,26,92,26,713070.00元,31.26837,121.539543
8,19211021,上海上海市长宁区天山路919号3楼302号商铺,上海,上海市长宁区天山路919号3楼302号商铺,美姿,上海美姿医疗美容门诊部有限公司,476,230,246,220,7019048.00元,31.21084,121.40476
9,19211022,上海上海古北悦丽医疗美容诊所有限公司,上海,,古北,上海古北悦丽医疗美容诊所有限公司,1852,840,1012,831,24194340.00元,31.20717,121.399048
10,19211023,北京北京市朝阳区东直门外大街12号,北京,北京市朝阳区东直门外大街12号,薇琳,北京薇琳医疗美容医院有限公司2,56,2,54,2,71720.00元,39.94104,116.45392
11,19211024,上海上海市徐汇区新乐路167号甲,上海,上海市徐汇区新乐路167号甲,悦薇堂,上海悦薇堂医疗美容门诊部有限公司,507,277,230,270,7941160.00元,31.21686,121.45316
12,19211025,上海上海伊莱美医疗美容医院有限公司,上海,,伊莱美,上海伊莱美医疗美容医院有限公司,1400,759,641,736,20102570.00元,31.24189,121.459427
